Région;Province;Commune;Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Retard moyen d’approvisionnement en fournitures scolaires;Taux d'accouchements assistés;Taux de CSPS ayant reçu un stock de gaz suffisant;Taux de la population ayant accès à une source d’eau potable fonctionnelle;Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Taux d’actes de naissance délivrés;Taux d’écoles avec un forage fonctionnel;Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Ecart entre le taux d’admission au CEP dans la commune et au niveau national;Points-Retard moyen d’approvisionnement en fournitures scolaires;Points-Taux d'accouchements assistés;Points-Taux de CSPS ayant reçu un stock de gaz suffisant;Points-Taux de la population ayant accès à une source d’eau potable fonctionnelle;Points-Taux de nourrissons 0-11 mois ayant reçu les vaccins recommand;Points-Taux d’actes de naissance délivrés;Points-Taux d’écoles avec un forage fonctionnel;Points-Taux d’écoles ayant un nombre suffisant de latrines fonctionnelles;Points-Acte de naissance;Nombre d'étoiles-Acte de naissance;Points-Eau et assainissement;Nombre d'étoiles-Eau et assainissement;Points-Santé;Nombre d'étoiles-Santé;Points-écoles primaires;Nombre d'étoiles-écoles primaires;Performance globale;Nombre d'étoiles-Performance globale
PLATEAU CENTRAL;OUBRITENGA;ABSOUYA;-0,400000006;18;104,5999985;0;81,09999847;103,2;176;100;44,40000153;8;2,400000095;13;0;13;10;12;3;25;12;5;13;4;23;4;38,40000153;4;86,40000153;5
CENTRE EST;KOURITENGA;ANDEMTENGA;11,60000038;20;100,4000015;50;78,59999847;109,1;20,60000038;75;33,29999924;10;2,200000048;13;5;12;10;1;1;13;1;2;12;3;28;5;26,20000076;1;67,19999695;3
SAHEL;SOUM;ARBINDA;5,199999809;6,800000191;59,40000153;14,30000019;41,5;105,7;8,300000191;90;70;9;3,799999952;2;1,399999976;5;10;0;8;16;0;1;5;1;13,39999962;2;36,79999924;4;55,29999924;1
NORD;PASSORE;ARBOLLÉ;7,5;4,5;109,0999985;20;73,09999847;100,9;41,59999847;90;60;9;4,699999809;13;2;11;10;3;6;16;3;4;11;3;25;4;35,70000076;4;74,69999695;4
NORD;PASSORE;BAGARÉ;2,299999952;0,699999988;90,59999847;0;79,69999695;101,7;21,70000076;100;70;8;10;11;0;12;10;1;8;25;1;2;12;3;21;3;51;5;85;5
BOUCLE DU MOUHOUN;BALE;BAGASSI;-8,600000381;2,900000095;58,5;15,39999962;72,5;84,8;31,39999962;95,80000305;58,29999924;7;5,900000095;2;1,5;11;7;2;5;20;2;3;11;3;10,5;1;37,90000153;4;61,40000153;2
CENTRE EST;BOULGOU;BAGRÉ;0,600000024;36;86,40000153;0;59,5;103,2;12,30000019;89,5;42,09999847;8;1,700000048;10;0;8;10;0;3;15;0;1;8;1;20;3;27,70000076;1;55,70000076;1
CENTRE OUEST;ZIRO;BAKATA;17,79999924;27,5;88,09999847;25;55,20000076;106,3;22,60000038;86,69999695;26,70000076;12;1,899999976;10;2,5;8;10;1;0;15;1;2;8;1;22,5;4;28,89999962;2;60,40000153;2
BOUCLE DU MOUHOUN;BANWA;BALAVÉ;-53,40000153;10,10000038;86,80000305;33,29999924;64,59999847;106,2;601,2999878;95;70;1;3,099999905;10;3,299999952;9;10;12;8;20;12;5;9;2;23,29999924;4;32,09999847;3;76,5;4
HAUTS BASSINS;HOUET;BAMA;6,099999905;9,600000381;73,69999695;50;98,5;38;55,29999924;87,5;62,5;9;3,200000048;7;5;18;0;4;6;15;4;4;18;5;12;1;33,20000076;3;67,19999695;3
BOUCLE DU MOUHOUN;BALE;BANA;-30;7;99,69999695;50;96,90000153;102,7;81,80000305;88,90000153;22,20000076;3;3,799999952;12;5;18;10;7;0;15;7;5;18;5;27;5;21,79999924;1;73,80000305;4
CASCADES;COMOE;BANFORA;7,400000095;4,199999809;60;100;67,40000153;84;27,70000076;86,69999695;40;9;4,900000095;4;10;10;7;1;3;15;1;2;10;2;21;3;31,89999962;2;63,90000153;3
NORD;LOROUM;BANH;-0,699999988;1,799999952;66,5;0;40,90000153;56,1;54,09999847;100;12,5;8;7,599999905;5;0;5;0;4;0;25;4;4;5;1;5;1;40,59999847;5;54,59999847;1
SAHEL;SENO;BANI;0;10,5;60,70000076;40;81,5;80,2;28,10000038;100;73,30000305;0;3,099999905;4;4;13;7;1;8;25;1;2;13;4;15;2;36,09999847;4;65,09999847;3
HAUTS BASSINS;KENEDOUGOU;BANZON;12,60000038;16,5;54,79999924;0;79,19999695;83,5;28,29999924;100;45,5;10;2,5;1;0;12;7;1;3;25;1;2;12;3;8;1;40,5;5;61,5;2
CENTRE EST;BOULGOU;BANÉ;4,5;12,30000019;82,80000305;25;40,59999847;98,9;28,5;93,30000305;33,29999924;8;2,900000095;9;2,5;5;9;1;1;16;1;2;5;1;20,5;3;27,89999962;1;54,40000153;1
SAHEL;SOUM;BARABOULE;1;80,09999847;51,09999847;0;78,09999847;80,8;32,5;90;0;8;1,100000024;1;0;12;7;2;0;16;2;3;12;3;8;1;25,10000038;1;47,09999847;1
BOUCLE DU MOUHOUN;KOSSI;BARANI;0,800000012;3,099999905;102,9000015;33,29999924;71,30000305;74;33;96;80;8;5,699999809;13;3,299999952;11;3;2;10;20;2;3;11;3;19,29999924;3;43,70000076;5;76;4
NORD;YATENGA;BARGA;7,199999809;3,599999905;84,5;63,59999847;68,09999847;101,9;107,9000015;100;12;9;5,300000191;9;6,400000095;10;10;12;0;25;12;5;10;2;25,39999962;4;39,29999924;4;86,59999847;5
