id;score;deleted;nb_etoile;type_performance;domaine_id;type_domaine_id;commune_id;indicateur_id;exercice_id;created_by;created_date;last_modified_by;last_modified_date
18301;8;f;;INDICATEUR;;1051;218;1252;1151;admin;2019-12-12 16:30:09.249;admin;2019-12-12 16:30:09.249
18302;2.40000009536743;f;;INDICATEUR;;1051;218;1253;1151;admin;2019-12-12 16:30:09.256;admin;2019-12-12 16:30:09.256
18303;13;f;;INDICATEUR;;1051;218;1256;1151;admin;2019-12-12 16:30:09.261;admin;2019-12-12 16:30:09.261
18304;0;f;;INDICATEUR;;1051;218;1258;1151;admin;2019-12-12 16:30:09.266;admin;2019-12-12 16:30:09.266
18305;13;f;;INDICATEUR;;1051;218;1259;1151;admin;2019-12-12 16:30:09.271;admin;2019-12-12 16:30:09.271
18306;12;f;;INDICATEUR;;1051;218;1260;1151;admin;2019-12-12 16:30:09.282;admin;2019-12-12 16:30:09.282
18307;3;f;;INDICATEUR;;1051;218;1254;1151;admin;2019-12-12 16:30:09.289;admin;2019-12-12 16:30:09.289
18308;25;f;;INDICATEUR;;1051;218;1255;1151;admin;2019-12-12 16:30:09.294;admin;2019-12-12 16:30:09.294
18309;12;f;5;DOMAINE;1204;1051;218;;1151;admin;2019-12-12 16:30:09.308;admin;2019-12-12 16:30:09.318
18310;13;f;4;DOMAINE;1203;1051;218;;1151;admin;2019-12-12 16:30:09.329;admin;2019-12-12 16:30:09.335
18311;23;f;4;DOMAINE;1202;1051;218;;1151;admin;2019-12-12 16:30:09.341;admin;2019-12-12 16:30:09.347
18312;38.4000015258789;f;4;DOMAINE;1201;1051;218;;1151;admin;2019-12-12 16:30:09.351;admin;2019-12-12 16:30:09.356
18314;10;f;;INDICATEUR;;1051;161;1252;1151;admin;2019-12-12 16:30:09.404;admin;2019-12-12 16:30:09.404
18315;2.20000004768372;f;;INDICATEUR;;1051;161;1253;1151;admin;2019-12-12 16:30:09.408;admin;2019-12-12 16:30:09.408
18316;13;f;;INDICATEUR;;1051;161;1256;1151;admin;2019-12-12 16:30:09.411;admin;2019-12-12 16:30:09.411
18317;5;f;;INDICATEUR;;1051;161;1258;1151;admin;2019-12-12 16:30:09.415;admin;2019-12-12 16:30:09.415
18318;12;f;;INDICATEUR;;1051;161;1259;1151;admin;2019-12-12 16:30:09.419;admin;2019-12-12 16:30:09.419
18319;1;f;;INDICATEUR;;1051;161;1260;1151;admin;2019-12-12 16:30:09.424;admin;2019-12-12 16:30:09.424
18320;1;f;;INDICATEUR;;1051;161;1254;1151;admin;2019-12-12 16:30:09.427;admin;2019-12-12 16:30:09.427
18321;13;f;;INDICATEUR;;1051;161;1255;1151;admin;2019-12-12 16:30:09.431;admin;2019-12-12 16:30:09.431
18322;1;f;2;DOMAINE;1204;1051;161;;1151;admin;2019-12-12 16:30:09.436;admin;2019-12-12 16:30:09.443
18323;12;f;3;DOMAINE;1203;1051;161;;1151;admin;2019-12-12 16:30:09.448;admin;2019-12-12 16:30:09.454
18324;28;f;5;DOMAINE;1202;1051;161;;1151;admin;2019-12-12 16:30:09.458;admin;2019-12-12 16:30:09.464
18325;26.2000007629395;f;1;DOMAINE;1201;1051;161;;1151;admin;2019-12-12 16:30:09.469;admin;2019-12-12 16:30:09.475
18327;9;f;;INDICATEUR;;1051;283;1252;1151;admin;2019-12-12 16:30:09.518;admin;2019-12-12 16:30:09.518
18328;3.79999995231628;f;;INDICATEUR;;1051;283;1253;1151;admin;2019-12-12 16:30:09.522;admin;2019-12-12 16:30:09.522
18329;2;f;;INDICATEUR;;1051;283;1256;1151;admin;2019-12-12 16:30:09.525;admin;2019-12-12 16:30:09.525
18330;1.39999997615814;f;;INDICATEUR;;1051;283;1258;1151;admin;2019-12-12 16:30:09.528;admin;2019-12-12 16:30:09.528
18331;5;f;;INDICATEUR;;1051;283;1259;1151;admin;2019-12-12 16:30:09.532;admin;2019-12-12 16:30:09.532
18332;0;f;;INDICATEUR;;1051;283;1260;1151;admin;2019-12-12 16:30:09.536;admin;2019-12-12 16:30:09.536
18333;8;f;;INDICATEUR;;1051;283;1254;1151;admin;2019-12-12 16:30:09.539;admin;2019-12-12 16:30:09.539
18334;16;f;;INDICATEUR;;1051;283;1255;1151;admin;2019-12-12 16:30:09.541;admin;2019-12-12 16:30:09.541
18335;0;f;1;DOMAINE;1204;1051;283;;1151;admin;2019-12-12 16:30:09.545;admin;2019-12-12 16:30:09.549
18336;5;f;1;DOMAINE;1203;1051;283;;1151;admin;2019-12-12 16:30:09.552;admin;2019-12-12 16:30:09.557
18337;13.3999996185303;f;2;DOMAINE;1202;1051;283;;1151;admin;2019-12-12 16:30:09.561;admin;2019-12-12 16:30:09.564
18338;36.7999992370605;f;4;DOMAINE;1201;1051;283;;1151;admin;2019-12-12 16:30:09.569;admin;2019-12-12 16:30:09.573
18340;9;f;;INDICATEUR;;1051;230;1252;1151;admin;2019-12-12 16:30:09.606;admin;2019-12-12 16:30:09.606
18341;4.69999980926514;f;;INDICATEUR;;1051;230;1253;1151;admin;2019-12-12 16:30:09.609;admin;2019-12-12 16:30:09.609
18342;13;f;;INDICATEUR;;1051;230;1256;1151;admin;2019-12-12 16:30:09.611;admin;2019-12-12 16:30:09.611
18343;2;f;;INDICATEUR;;1051;230;1258;1151;admin;2019-12-12 16:30:09.613;admin;2019-12-12 16:30:09.613
18344;11;f;;INDICATEUR;;1051;230;1259;1151;admin;2019-12-12 16:30:09.615;admin;2019-12-12 16:30:09.615
18345;3;f;;INDICATEUR;;1051;230;1260;1151;admin;2019-12-12 16:30:09.62;admin;2019-12-12 16:30:09.62
18346;6;f;;INDICATEUR;;1051;230;1254;1151;admin;2019-12-12 16:30:09.622;admin;2019-12-12 16:30:09.622
18313;34.20000076;f;2;COMMUNE;;1051;218;;1151;admin;2019-12-12 16:30:09.361;admin;2019-12-12 16:37:45.592
18326;33.90000153;f;2;COMMUNE;;1051;161;;1151;admin;2019-12-12 16:30:09.478;admin;2019-12-12 16:37:45.628
18339;19.39999962;f;1;COMMUNE;;1051;283;;1151;admin;2019-12-12 16:30:09.575;admin;2019-12-12 16:37:45.668
18347;16;f;;INDICATEUR;;1051;230;1255;1151;admin;2019-12-12 16:30:09.624;admin;2019-12-12 16:30:09.624
18348;3;f;4;DOMAINE;1204;1051;230;;1151;admin;2019-12-12 16:30:09.628;admin;2019-12-12 16:30:09.631
18349;11;f;3;DOMAINE;1203;1051;230;;1151;admin;2019-12-12 16:30:09.634;admin;2019-12-12 16:30:09.637
18350;25;f;4;DOMAINE;1202;1051;230;;1151;admin;2019-12-12 16:30:09.64;admin;2019-12-12 16:30:09.643
18451;35.7000007629395;f;4;DOMAINE;1201;1051;230;;1151;admin;2019-12-12 16:30:09.645;admin;2019-12-12 16:30:09.648
18453;8;f;;INDICATEUR;;1051;231;1252;1151;admin;2019-12-12 16:30:09.674;admin;2019-12-12 16:30:09.674
18454;10;f;;INDICATEUR;;1051;231;1253;1151;admin;2019-12-12 16:30:09.677;admin;2019-12-12 16:30:09.677
18455;11;f;;INDICATEUR;;1051;231;1256;1151;admin;2019-12-12 16:30:09.679;admin;2019-12-12 16:30:09.679
18456;0;f;;INDICATEUR;;1051;231;1258;1151;admin;2019-12-12 16:30:09.681;admin;2019-12-12 16:30:09.681
18457;12;f;;INDICATEUR;;1051;231;1259;1151;admin;2019-12-12 16:30:09.683;admin;2019-12-12 16:30:09.683
18458;1;f;;INDICATEUR;;1051;231;1260;1151;admin;2019-12-12 16:30:09.687;admin;2019-12-12 16:30:09.687
18459;8;f;;INDICATEUR;;1051;231;1254;1151;admin;2019-12-12 16:30:09.689;admin;2019-12-12 16:30:09.689
18460;25;f;;INDICATEUR;;1051;231;1255;1151;admin;2019-12-12 16:30:09.691;admin;2019-12-12 16:30:09.691
18461;1;f;2;DOMAINE;1204;1051;231;;1151;admin;2019-12-12 16:30:09.695;admin;2019-12-12 16:30:09.699
18462;12;f;3;DOMAINE;1203;1051;231;;1151;admin;2019-12-12 16:30:09.702;admin;2019-12-12 16:30:09.707
18463;21;f;3;DOMAINE;1202;1051;231;;1151;admin;2019-12-12 16:30:09.712;admin;2019-12-12 16:30:09.716
18464;51;f;5;DOMAINE;1201;1051;231;;1151;admin;2019-12-12 16:30:09.72;admin;2019-12-12 16:30:09.723
18466;7;f;;INDICATEUR;;1051;1;1252;1151;admin;2019-12-12 16:30:09.757;admin;2019-12-12 16:30:09.757
18467;5.90000009536743;f;;INDICATEUR;;1051;1;1253;1151;admin;2019-12-12 16:30:09.76;admin;2019-12-12 16:30:09.76
18468;2;f;;INDICATEUR;;1051;1;1256;1151;admin;2019-12-12 16:30:09.763;admin;2019-12-12 16:30:09.763
18469;1.5;f;;INDICATEUR;;1051;1;1258;1151;admin;2019-12-12 16:30:09.765;admin;2019-12-12 16:30:09.765
18470;11;f;;INDICATEUR;;1051;1;1259;1151;admin;2019-12-12 16:30:09.768;admin;2019-12-12 16:30:09.768
18471;2;f;;INDICATEUR;;1051;1;1260;1151;admin;2019-12-12 16:30:09.772;admin;2019-12-12 16:30:09.772
18472;5;f;;INDICATEUR;;1051;1;1254;1151;admin;2019-12-12 16:30:09.774;admin;2019-12-12 16:30:09.774
18473;20;f;;INDICATEUR;;1051;1;1255;1151;admin;2019-12-12 16:30:09.776;admin;2019-12-12 16:30:09.776
18474;2;f;3;DOMAINE;1204;1051;1;;1151;admin;2019-12-12 16:30:09.78;admin;2019-12-12 16:30:09.784
18475;11;f;3;DOMAINE;1203;1051;1;;1151;admin;2019-12-12 16:30:09.787;admin;2019-12-12 16:30:09.791
18476;10.5;f;1;DOMAINE;1202;1051;1;;1151;admin;2019-12-12 16:30:09.795;admin;2019-12-12 16:30:09.799
18477;37.9000015258789;f;4;DOMAINE;1201;1051;1;;1151;admin;2019-12-12 16:30:09.802;admin;2019-12-12 16:30:09.806
18479;8;f;;INDICATEUR;;1051;38;1252;1151;admin;2019-12-12 16:30:09.838;admin;2019-12-12 16:30:09.838
18480;1.70000004768372;f;;INDICATEUR;;1051;38;1253;1151;admin;2019-12-12 16:30:09.841;admin;2019-12-12 16:30:09.841
18481;10;f;;INDICATEUR;;1051;38;1256;1151;admin;2019-12-12 16:30:09.844;admin;2019-12-12 16:30:09.844
18482;0;f;;INDICATEUR;;1051;38;1258;1151;admin;2019-12-12 16:30:09.847;admin;2019-12-12 16:30:09.847
18483;8;f;;INDICATEUR;;1051;38;1259;1151;admin;2019-12-12 16:30:09.849;admin;2019-12-12 16:30:09.849
18484;0;f;;INDICATEUR;;1051;38;1260;1151;admin;2019-12-12 16:30:09.854;admin;2019-12-12 16:30:09.854
18485;3;f;;INDICATEUR;;1051;38;1254;1151;admin;2019-12-12 16:30:09.858;admin;2019-12-12 16:30:09.858
18486;15;f;;INDICATEUR;;1051;38;1255;1151;admin;2019-12-12 16:30:09.86;admin;2019-12-12 16:30:09.86
18487;0;f;1;DOMAINE;1204;1051;38;;1151;admin;2019-12-12 16:30:09.864;admin;2019-12-12 16:30:09.868
18488;8;f;1;DOMAINE;1203;1051;38;;1151;admin;2019-12-12 16:30:09.871;admin;2019-12-12 16:30:09.876
18489;20;f;3;DOMAINE;1202;1051;38;;1151;admin;2019-12-12 16:30:09.879;admin;2019-12-12 16:30:09.883
18452;37;f;3;COMMUNE;;1051;230;;1151;admin;2019-12-12 16:30:09.65;admin;2019-12-12 16:37:45.715
18465;32.40000153;f;2;COMMUNE;;1051;231;;1151;admin;2019-12-12 16:30:09.725;admin;2019-12-12 16:37:45.772
18478;69.5;f;5;COMMUNE;;1051;1;;1151;admin;2019-12-12 16:30:09.809;admin;2019-12-12 16:37:45.824
18490;27.7000007629395;f;1;DOMAINE;1201;1051;38;;1151;admin;2019-12-12 16:30:09.887;admin;2019-12-12 16:30:09.891
18492;12;f;;INDICATEUR;;1051;334;1252;1151;admin;2019-12-12 16:30:09.921;admin;2019-12-12 16:30:09.921
18493;1.89999997615814;f;;INDICATEUR;;1051;334;1253;1151;admin;2019-12-12 16:30:09.924;admin;2019-12-12 16:30:09.924
18494;10;f;;INDICATEUR;;1051;334;1256;1151;admin;2019-12-12 16:30:09.927;admin;2019-12-12 16:30:09.927
18495;2.5;f;;INDICATEUR;;1051;334;1258;1151;admin;2019-12-12 16:30:09.929;admin;2019-12-12 16:30:09.929
18496;8;f;;INDICATEUR;;1051;334;1259;1151;admin;2019-12-12 16:30:09.932;admin;2019-12-12 16:30:09.932
18497;1;f;;INDICATEUR;;1051;334;1260;1151;admin;2019-12-12 16:30:09.935;admin;2019-12-12 16:30:09.935
18498;0;f;;INDICATEUR;;1051;334;1254;1151;admin;2019-12-12 16:30:09.938;admin;2019-12-12 16:30:09.938
18499;15;f;;INDICATEUR;;1051;334;1255;1151;admin;2019-12-12 16:30:09.94;admin;2019-12-12 16:30:09.94
18500;1;f;2;DOMAINE;1204;1051;334;;1151;admin;2019-12-12 16:30:09.943;admin;2019-12-12 16:30:09.946
18651;8;f;1;DOMAINE;1203;1051;334;;1151;admin;2019-12-12 16:30:09.95;admin;2019-12-12 16:30:09.953
18652;22.5;f;4;DOMAINE;1202;1051;334;;1151;admin;2019-12-12 16:30:09.956;admin;2019-12-12 16:30:09.96
18653;28.8999996185303;f;2;DOMAINE;1201;1051;334;;1151;admin;2019-12-12 16:30:09.964;admin;2019-12-12 16:30:09.968
18655;1;f;;INDICATEUR;;1051;20;1252;1151;admin;2019-12-12 16:30:09.996;admin;2019-12-12 16:30:09.996
18656;3.09999990463257;f;;INDICATEUR;;1051;20;1253;1151;admin;2019-12-12 16:30:09.998;admin;2019-12-12 16:30:09.998
18657;10;f;;INDICATEUR;;1051;20;1256;1151;admin;2019-12-12 16:30:10;admin;2019-12-12 16:30:10
18658;3.29999995231628;f;;INDICATEUR;;1051;20;1258;1151;admin;2019-12-12 16:30:10.002;admin;2019-12-12 16:30:10.002
18659;9;f;;INDICATEUR;;1051;20;1259;1151;admin;2019-12-12 16:30:10.004;admin;2019-12-12 16:30:10.004
18660;12;f;;INDICATEUR;;1051;20;1260;1151;admin;2019-12-12 16:30:10.008;admin;2019-12-12 16:30:10.008
18661;8;f;;INDICATEUR;;1051;20;1254;1151;admin;2019-12-12 16:30:10.01;admin;2019-12-12 16:30:10.01
18662;20;f;;INDICATEUR;;1051;20;1255;1151;admin;2019-12-12 16:30:10.012;admin;2019-12-12 16:30:10.012
18663;12;f;5;DOMAINE;1204;1051;20;;1151;admin;2019-12-12 16:30:10.015;admin;2019-12-12 16:30:10.019
18664;9;f;2;DOMAINE;1203;1051;20;;1151;admin;2019-12-12 16:30:10.021;admin;2019-12-12 16:30:10.025
18665;23.2999992370605;f;4;DOMAINE;1202;1051;20;;1151;admin;2019-12-12 16:30:10.028;admin;2019-12-12 16:30:10.031
18666;32.0999984741211;f;3;DOMAINE;1201;1051;20;;1151;admin;2019-12-12 16:30:10.034;admin;2019-12-12 16:30:10.038
18668;9;f;;INDICATEUR;;1051;96;1252;1151;admin;2019-12-12 16:30:10.064;admin;2019-12-12 16:30:10.064
18669;3.20000004768372;f;;INDICATEUR;;1051;96;1253;1151;admin;2019-12-12 16:30:10.067;admin;2019-12-12 16:30:10.067
18670;7;f;;INDICATEUR;;1051;96;1256;1151;admin;2019-12-12 16:30:10.07;admin;2019-12-12 16:30:10.07
18671;5;f;;INDICATEUR;;1051;96;1258;1151;admin;2019-12-12 16:30:10.073;admin;2019-12-12 16:30:10.073
18672;18;f;;INDICATEUR;;1051;96;1259;1151;admin;2019-12-12 16:30:10.075;admin;2019-12-12 16:30:10.075
18673;4;f;;INDICATEUR;;1051;96;1260;1151;admin;2019-12-12 16:30:10.08;admin;2019-12-12 16:30:10.08
18674;6;f;;INDICATEUR;;1051;96;1254;1151;admin;2019-12-12 16:30:10.082;admin;2019-12-12 16:30:10.082
18675;15;f;;INDICATEUR;;1051;96;1255;1151;admin;2019-12-12 16:30:10.085;admin;2019-12-12 16:30:10.085
18676;4;f;4;DOMAINE;1204;1051;96;;1151;admin;2019-12-12 16:30:10.089;admin;2019-12-12 16:30:10.093
18677;18;f;5;DOMAINE;1203;1051;96;;1151;admin;2019-12-12 16:30:10.096;admin;2019-12-12 16:30:10.101
18678;12;f;1;DOMAINE;1202;1051;96;;1151;admin;2019-12-12 16:30:10.105;admin;2019-12-12 16:30:10.109
18679;33.2000007629395;f;3;DOMAINE;1201;1051;96;;1151;admin;2019-12-12 16:30:10.112;admin;2019-12-12 16:30:10.116
18681;3;f;;INDICATEUR;;1051;2;1252;1151;admin;2019-12-12 16:30:10.144;admin;2019-12-12 16:30:10.144
18682;3.79999995231628;f;;INDICATEUR;;1051;2;1253;1151;admin;2019-12-12 16:30:10.146;admin;2019-12-12 16:30:10.146
18683;12;f;;INDICATEUR;;1051;2;1256;1151;admin;2019-12-12 16:30:10.149;admin;2019-12-12 16:30:10.149
18491;42.90000153;f;4;COMMUNE;;1051;38;;1151;admin;2019-12-12 16:30:09.892;admin;2019-12-12 16:37:45.877
18654;35.40000153;f;2;COMMUNE;;1051;334;;1151;admin;2019-12-12 16:30:09.969;admin;2019-12-12 16:37:45.934
18667;35.5;f;2;COMMUNE;;1051;20;;1151;admin;2019-12-12 16:30:10.039;admin;2019-12-12 16:37:46.013
18680;44.79999924;f;4;COMMUNE;;1051;96;;1151;admin;2019-12-12 16:30:10.117;admin;2019-12-12 16:37:46.082
18684;5;f;;INDICATEUR;;1051;2;1258;1151;admin;2019-12-12 16:30:10.153;admin;2019-12-12 16:30:10.153
18685;18;f;;INDICATEUR;;1051;2;1259;1151;admin;2019-12-12 16:30:10.156;admin;2019-12-12 16:30:10.156
18686;7;f;;INDICATEUR;;1051;2;1260;1151;admin;2019-12-12 16:30:10.161;admin;2019-12-12 16:30:10.161
18687;0;f;;INDICATEUR;;1051;2;1254;1151;admin;2019-12-12 16:30:10.164;admin;2019-12-12 16:30:10.164
18688;15;f;;INDICATEUR;;1051;2;1255;1151;admin;2019-12-12 16:30:10.166;admin;2019-12-12 16:30:10.166
18689;7;f;5;DOMAINE;1204;1051;2;;1151;admin;2019-12-12 16:30:10.17;admin;2019-12-12 16:30:10.175
18690;18;f;5;DOMAINE;1203;1051;2;;1151;admin;2019-12-12 16:30:10.178;admin;2019-12-12 16:30:10.183
18691;27;f;5;DOMAINE;1202;1051;2;;1151;admin;2019-12-12 16:30:10.187;admin;2019-12-12 16:30:10.191
18692;21.7999992370605;f;1;DOMAINE;1201;1051;2;;1151;admin;2019-12-12 16:30:10.194;admin;2019-12-12 16:30:10.198
18694;9;f;;INDICATEUR;;1051;66;1252;1151;admin;2019-12-12 16:30:10.23;admin;2019-12-12 16:30:10.23
18695;4.90000009536743;f;;INDICATEUR;;1051;66;1253;1151;admin;2019-12-12 16:30:10.233;admin;2019-12-12 16:30:10.233
18696;4;f;;INDICATEUR;;1051;66;1256;1151;admin;2019-12-12 16:30:10.236;admin;2019-12-12 16:30:10.236
18697;10;f;;INDICATEUR;;1051;66;1258;1151;admin;2019-12-12 16:30:10.238;admin;2019-12-12 16:30:10.238
18698;10;f;;INDICATEUR;;1051;66;1259;1151;admin;2019-12-12 16:30:10.241;admin;2019-12-12 16:30:10.241
18699;1;f;;INDICATEUR;;1051;66;1260;1151;admin;2019-12-12 16:30:10.246;admin;2019-12-12 16:30:10.246
18700;3;f;;INDICATEUR;;1051;66;1254;1151;admin;2019-12-12 16:30:10.248;admin;2019-12-12 16:30:10.248
18851;15;f;;INDICATEUR;;1051;66;1255;1151;admin;2019-12-12 16:30:10.251;admin;2019-12-12 16:30:10.251
18852;1;f;2;DOMAINE;1204;1051;66;;1151;admin;2019-12-12 16:30:10.254;admin;2019-12-12 16:30:10.259
18853;10;f;2;DOMAINE;1203;1051;66;;1151;admin;2019-12-12 16:30:10.262;admin;2019-12-12 16:30:10.266
18854;21;f;3;DOMAINE;1202;1051;66;;1151;admin;2019-12-12 16:30:10.269;admin;2019-12-12 16:30:10.274
18855;31.8999996185303;f;2;DOMAINE;1201;1051;66;;1151;admin;2019-12-12 16:30:10.277;admin;2019-12-12 16:30:10.281
18857;8;f;;INDICATEUR;;1051;183;1252;1151;admin;2019-12-12 16:30:10.313;admin;2019-12-12 16:30:10.313
18858;7.59999990463257;f;;INDICATEUR;;1051;183;1253;1151;admin;2019-12-12 16:30:10.315;admin;2019-12-12 16:30:10.315
