id;libelle;description;contenu;contenu_content_type;published;type_publication_id
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.png;image/png;false;1
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;../fake-data/blob/hipster.png;image/png;false;2
3;Officer;methodology Albania;../fake-data/blob/hipster.png;image/png;false;3
4;intangible;enable Gorgeous Frozen Pants;../fake-data/blob/hipster.png;image/png;false;4
5;Licensed Savings Account;Cambridgeshire Mississippi;../fake-data/blob/hipster.png;image/png;false;5
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;../fake-data/blob/hipster.png;image/png;false;6
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;../fake-data/blob/hipster.png;image/png;true;7
8;hardware Costa Rica Mayotte;Industrial;../fake-data/blob/hipster.png;image/png;true;8
9;Views e-enable Communications;National Awesome sky blue;../fake-data/blob/hipster.png;image/png;false;9
10;software scale interactive;Louisiana Specialist Home Loan Account;../fake-data/blob/hipster.png;image/png;false;10
