Région;Province;Commune;premier cadre de concertation organisé;deuxième cadre de concertation organisé;troisième cadre de concertation organisé;quatrième cadre de concertation organisé;première session ordinaire organisée;deuxième session ordinaire organisée;troisième session ordinaire organisée;quatrième session ordinaire organisée;secrétaire de la mairie;agent d’état civil;agent de service statistique;agent de service technique;comptable;régisseur de recettes;agent des affaires domaniales;agent de matière transférée;Recettes fiscales collectées par habitant;Taux de participation aux sessions ordinaires du conseil municipal;Taux de recouvrement de taxes en fonction des prévisions;Taux d’exécution du plan de passation des marchés;Points-Nombre de cadres de concertations organisés par la Mairie;Points-Nombre de sessions ordinaires du Conseil municipal tenues;Points-Personnel de la municipalité remplissant l’organigramme type;Points-Recettes fiscales collectées par habitant;Points-Taux de participation aux sessions ordinaires du conseil municipal;Points-Taux de recouvrement de taxes en fonction des prévisions;Points-Taux d’exécution du plan de passation des marchés;Points-Conseil municipal;Nombre d'étoiles-Conseil municipal;Points-Gestion financière;Nombre d'étoiles-Gestion financière;Points-Mairie/Personne municipale;Nombre d'étoiles-Mairie/Personne municipale;Performance globale;Nombre d'étoiles-Performance globale
PLATEAU CENTRAL;OUBRITENGA;ABSOUYA;non;non;non;non;oui;oui;oui;non;non;non;non;oui;oui;non;oui;non;306;81;144;80;0.0;4.0;6.0;2.0;5.199999809265137;10.0;11.0;9.199999809265137;2.0;23.0;3.0;6.0;2.0;38.20000076293945;3.0
CENTRE EST;KOURITENGA;ANDEMTENGA;non;non;non;non;oui;oui;oui;non;non;non;non;oui;oui;non;non;non;856;92;85;91;0.0;4.0;5.0;4.0;7.599999904632568;7.0;14.0;11.600000381469727;4.0;25.0;4.0;5.0;1.0;41.599998474121094;4.0
SAHEL;SOUM;ARBINDA;oui;non;non;non;oui;oui;oui;oui;non;non;non;oui;oui;non;oui;oui;180;70;48;50;2.0;5.0;7.0;1.0;4.0;0.0;5.0;11.0;4.0;6.0;1.0;7.0;4.0;24.0;1.0
CENTRE EST;BOULGOU;BAGRÉ;non;non;non;non;oui;oui;non;non;non;oui;oui;oui;oui;non;non;non;937;83;37;88;0.0;3.0;6.0;4.0;5.699999809265137;0.0;12.0;8.699999809265137;2.0;16.0;2.0;6.0;2.0;30.700000762939453;1.0
CASCADES;COMOE;BANFORA;non;non;non;non;oui;oui;oui;non;oui;oui;oui;oui;oui;non;oui;oui;3164;87;33;90;0.0;4.0;9.0;13.0;6.300000190734863;0.0;14.0;10.300000190734863;3.0;27.0;4.0;9.0;5.0;46.29999923706055;5.0
SAHEL;SENO;BANI;non;non;non;non;oui;oui;oui;oui;non;oui;oui;oui;oui;non;non;oui;183;74;97;71;0.0;5.0;7.0;1.0;4.400000095367432;9.0;9.0;9.399999618530273;3.0;19.0;2.0;7.0;4.0;35.400001525878906;2.0
CENTRE EST;BOULGOU;BANÉ;non;non;non;non;oui;oui;oui;non;non;oui;oui;oui;oui;non;non;non;189;96;123;98;0.0;4.0;6.0;1.0;8.899999618530273;10.0;16.0;12.899999618530273;5.0;27.0;4.0;6.0;2.0;45.900001525878906;5.0
SAHEL;SOUM;BARABOULE;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non;non;non;167;73;79;91;0.0;3.0;2.0;1.0;4.300000190734863;5.0;14.0;7.300000190734863;1.0;20.0;3.0;2.0;1.0;29.299999237060547;1.0
CENTRE NORD;SANMATENGA;BARSALOGHO;non;non;non;non;oui;oui;oui;oui;non;non;non;oui;oui;non;oui;non;31;80;229;60;0.0;5.0;6.0;0.0;4.900000095367432;10.0;7.0;9.899999618530273;3.0;17.0;2.0;6.0;2.0;32.900001525878906;2.0
CENTRE EST;KOURITENGA;BASKOURE;non;non;non;non;oui;oui;oui;oui;oui;oui;oui;non;oui;non;oui;non;437;88;23;76;0.0;5.0;5.0;3.0;6.599999904632568;0.0;10.0;11.600000381469727;5.0;13.0;1.0;5.0;1.0;29.600000381469727;1.0
CENTRE SUD;ZOUNDWEOGO;BERE;non;non;non;non;oui;oui;oui;oui;oui;oui;oui;oui;oui;non;oui;non;115;88;11;75;0.0;5.0;8.0;1.0;6.5;0.0;10.0;11.5;4.0;11.0;1.0;8.0;5.0;30.5;1.0
CASCADES;COMOE;BEREGADOUGOU;non;non;non;non;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;1516;89;97;97;0.0;5.0;8.0;7.0;6.900000095367432;9.0;16.0;11.899999618530273;5.0;32.0;5.0;8.0;5.0;51.900001525878906;5.0
CENTRE SUD;ZOUNDWEOGO;BINDÉ;non;non;non;non;oui;oui;oui;non;non;oui;oui;oui;oui;non;oui;non;1752;86;160;64;0.0;4.0;7.0;7.0;6.199999809265137;10.0;7.0;10.199999809265137;3.0;24.0;3.0;7.0;4.0;41.20000076293945;4.0
CENTRE EST;BOULGOU;BISSIGA;non;non;non;non;oui;oui;oui;non;non;non;non;oui;oui;non;oui;non;746;82;109;93;0.0;4.0;6.0;4.0;5.400000095367432;10.0;14.0;9.399999618530273;2.0;28.0;5.0;6.0;2.0;43.400001525878906;4.0
CENTRE EST;BOULGOU;BITTOU;non;non;non;non;oui;oui;oui;oui;oui;non;non;oui;oui;non;oui;non;440;85;18;87;0.0;5.0;7.0;3.0;6.0;0.0;12.0;11.0;4.0;15.0;1.0;7.0;4.0;33.0;2.0
CENTRE NORD;NAMENTENGA;BOALA;oui;oui;oui;non;oui;oui;oui;non;non;oui;oui;non;oui;non;non;non;286;73;141;63;6.0;4.0;5.0;2.0;4.300000190734863;10.0;7.0;14.300000190734863;5.0;19.0;2.0;5.0;1.0;38.29999923706055;3.0
PLATEAU CENTRAL;GANZOURGOU;BOUDRY;non;non;non;non;oui;oui;oui;oui;non;oui;oui;non;oui;non;oui;non;6084;77;125;90;0.0;5.0;6.0;19.0;4.699999809265137;10.0;12.0;9.699999809265137;3.0;41.0;5.0;6.0;2.0;56.70000076293945;5.0
CENTRE NORD;NAMENTENGA;BOULSA;oui;oui;non;non;oui;oui;oui;oui;non;non;non;non;oui;non;non;non;411;72;69;79;4.0;5.0;4.0;3.0;4.199999809265137;3.0;10.0;13.199999809265137;5.0;16.0;2.0;4.0;1.0;33.20000076293945;2.0
