Rang;Région;Province;Commune;Score
1;SAHEL;SENO;FALANGOUNTOU;170.70000457763672
2;CENTRE OUEST;SISSILI;BIEHA;159.0
3;PLATEAU CENTRAL;GANZOURGOU;ZORGHO;154.0999984741211
4;CENTRE;KADIOGO;SAABA;153.1999969482422
5;BOUCLE DU MOUHOUN;BALE;BOROMO;149.20000457763672
6;CASCADES;COMOE;BEREGADOUGOU;148.5999984741211
7;SUD OUEST;PONI;NAKO;148.29999923706055
8;CASCADES;COMOE;BANFORA;147.5999984741211
9;CENTRE OUEST;SISSILI;BOURA;147.20000076293945
10;BOUCLE DU MOUHOUN;NAYALA;KOUGNY;147.1999969482422
11;HAUTS BASSINS;TUY;KOTI;146.70000076293945
12;HAUTS BASSINS;KENEDOUGOU;KOURIGNON;143.9000015258789
13;EST;TAPOA;NAMOUNOU;143.60000610351562
14;EST;KOMPIENGA;KOMPIENGA;143.5999984741211
15;BOUCLE DU MOUHOUN;BALE;BANA;143.1999969482422
16;HAUTS BASSINS;KENEDOUGOU;ORODARA;142.29999923706055
17;CENTRE EST;KOURITENGA;POUYTENGA;141.79999542236328
18;CENTRE EST;BOULGOU;BAGRÉ;141.0999984741211
19;NORD;ZONDOMA;TOUGO;140.1999969482422
20;EST;GNAGNA;LIPTOUGOU;139.6999969482422
21;BOUCLE DU MOUHOUN;KOSSI;NOUNA;138.4000015258789
22;CASCADES;LERABA;OUÉLÉNI;138.1999969482422
23;SUD OUEST;PONI;KAMPTI;136.0
24;PLATEAU CENTRAL;OUBRITENGA;LOUMBILA;135.79999923706055
25;PLATEAU CENTRAL;OUBRITENGA;ZINIARÉ;134.0999984741211
26;CENTRE NORD;SANMATENGA;KORSIMORO;134.0
27;CENTRE SUD;BAZEGA;IPELCÉ;133.70000076293945
28;BOUCLE DU MOUHOUN;BALE;FARA;133.5999984741211
29;SAHEL;SOUM;NASSOUMBOU;132.8000030517578
29;CENTRE EST;BOULGOU;ZONSÉ;132.8000030517578
31;HAUTS BASSINS;TUY;BÉRÉBA;132.6999969482422
32;CASCADES;LERABA;DAKORO;132.29999923706055
33;CENTRE OUEST;BOULKIEMDE;NANDIALA;131.79999923706055
34;CENTRE NORD;BAM;BOURZANGA;131.60000228881836
35;SUD OUEST;BOUGOURIBA;TIANKOURA;131.5
36;BOUCLE DU MOUHOUN;BALE;POURA;130.89999771118164
37;NORD;YATENGA;OUAHIGOUYA;130.79999542236328
38;CENTRE SUD;NAHOURI;PÔ;130.5999984741211
38;NORD;YATENGA;SÉGUÉNÉGA;130.5999984741211
40;CENTRE;KADIOGO;TANGHIN-DASSOURI;130.5
41;SUD OUEST;PONI;GAOUA;130.3000030517578
